order_id,customer,product,category,quantity,price,date
5001,Alice,Laptop,Electronics,1,1200,2024-01-10
5002,Bob,Mouse,Electronics,2,25,2024-01-11
5003,Charlie,Desk,Furniture,1,300,2024-01-12
5004,Alice,Keyboard,Electronics,1,80,2024-01-13
5005,David,Chair,Furniture,2,150,2024-01-14
5006,Emma,Monitor,Electronics,1,1800,2024-02-20
5007,Daisy,Chair,Furniture,2,150,2024-03-17
5008,Tom,Laptop,Electronics,1,1200,2024-06-10
5009,Gretchen,Staplers,OfficeSupplies,4,60,2024-03-15
5010,Randy,Pencils,OfficeSupplies,12,10,2024-07-20
5011,Will,Monitor,Electronics,1,1800,2024-02-20
5012,Ronie,Desk,Furniture,1,300,2024-04-12
5013,Ben,Pencils,OfficeSupplies,12,10,2024-07-20
5014,Paxton,Notebooks,OfficeSupplies,6,50,2024-04-28
5015,Stacy,Keyboard,Electronics,2,80,2024-05-23
5016,Gill,Staplers,OfficeSupplies,4,60,2024-05-25
5017,Rayon,Mouse,Electronics,1,25,2024-08-14
5018,Molly,Notebooks,OfficeSupplies,7,50,2024-03-28
5019,Duke,Staplers,OfficeSupplies,5,60,2024-09-24
5020,Dany,Chair,Furniture,1,150,2024-06-17
